date,total_profit,number_of_trades,long_trades,short_trades,long_profit,short_profit,cumulative_profit
2017-01-02,377.72,9,4,5,83.51,294.21000000000004,377.72
2017-01-03,313.86,5,3,2,252.57999999999998,61.28,691.58
2017-01-04,51.89,11,6,5,-20.580000000000002,72.47,743.47
2017-01-05,-7.380000000000006,9,4,5,12.319999999999993,-19.7,736.09
2017-01-06,30.31,1,0,1,0.0,30.31,766.4
2017-01-10,-56.98,3,1,2,-5.55,-51.43,709.42
2017-01-11,212.14,13,6,7,234.20000000000002,-22.06000000000001,921.56
2017-01-12,37.62,1,0,1,0.0,37.62,959.18
2017-01-16,45.16000000000001,7,3,4,72.37,-27.21,1004.3399999999999
2017-01-17,117.61,10,5,5,11.909999999999997,105.70000000000002,1121.9499999999998
2017-01-18,62.480000000000004,10,5,5,17.35,45.13,1184.4299999999998
2017-01-19,89.96000000000001,6,3,3,59.010000000000005,30.950000000000003,1274.3899999999999
2017-01-20,-95.84,11,6,5,-152.07000000000002,56.230000000000004,1178.55
2017-01-23,103.74,1,1,0,103.74,0.0,1282.29
2017-01-24,-30.85,12,6,6,10.020000000000001,-40.870000000000005,1251.44
2017-01-25,222.72,8,4,4,267.83,-45.11,1474.16
2017-01-27,35.86,16,8,8,70.75,-34.890000000000015,1510.02
2017-01-30,22.59,5,3,2,-5.46,28.05,1532.61
2017-01-31,-34.980000000000004,19,10,9,-21.12,-13.859999999999996,1497.6299999999999
2017-02-01,-60.44999999999999,17,8,9,196.54000000000002,-256.99,1437.1799999999998
2017-02-02,217.03000000000003,10,5,5,94.16000000000001,122.87,1654.2099999999998
2017-02-03,15.040000000000001,9,4,5,28.92,-13.880000000000004,1669.2499999999998
2017-02-06,65.00999999999999,6,3,3,3.25,61.75999999999999,1734.2599999999998
2017-02-07,58.86000000000001,7,4,3,39.38,19.480000000000004,1793.1199999999997
2017-02-08,167.65999999999997,17,9,8,91.25999999999999,76.39999999999999,1960.7799999999997
2017-02-09,153.26,3,2,1,118.68,34.58,2114.04
2017-02-10,-218.13,25,12,13,-164.64,-53.49000000000001,1895.9099999999999
2017-02-13,131.28000000000003,17,8,9,70.63000000000002,60.65000000000002,2027.1899999999998
2017-02-14,45.129999999999995,3,2,1,13.079999999999998,32.05,2072.3199999999997
2017-02-15,160.08,4,2,2,8.4,151.68,2232.3999999999996
2017-02-16,-17.18,4,2,2,-15.15,-2.0299999999999976,2215.22
2017-02-17,364.28000000000003,2,1,1,58.05,306.23,2579.5
2017-02-20,65.07,2,1,1,82.14,-17.07,2644.57
2017-02-21,120.86,10,5,5,164.36,-43.5,2765.4300000000003
2017-02-22,-110.86,14,7,7,-49.319999999999986,-61.54000000000001,2654.57
2017-02-23,-12.39,3,1,2,-75.83,63.44,2642.1800000000003
2017-02-27,19.590000000000003,12,6,6,-42.849999999999994,62.44,2661.7700000000004
2017-02-28,31.259999999999998,4,2,2,34.73,-3.4699999999999998,2693.0300000000007
2017-03-01,10.91,1,0,1,0.0,10.91,2703.9400000000005
2017-03-02,-25.64999999999999,19,9,10,-155.43,129.78,2678.2900000000004
2017-03-03,-27.040000000000003,23,12,11,-40.17,13.129999999999988,2651.2500000000005
2017-03-06,189.98999999999998,12,6,6,148.87,41.12,2841.2400000000002
2017-03-07,32.65,12,6,6,11.63,21.02,2873.8900000000003
2017-03-08,221.18,8,4,4,129.15,92.03000000000002,3095.07
2017-03-09,-82.09,21,10,11,22.38,-104.47,3012.98
2017-03-10,194.89000000000001,4,2,2,60.06,134.83,3207.87
2017-03-14,60.89,4,2,2,27.42,33.47,3268.7599999999998
2017-03-15,121.78999999999999,4,2,2,85.83,35.959999999999994,3390.5499999999997
2017-03-16,0.89,1,0,1,0.0,0.89,3391.4399999999996
2017-03-17,-100.39999999999999,18,9,9,-78.5,-21.900000000000002,3291.0399999999995
2017-03-20,-44.9,30,15,15,-44.760000000000005,-0.13999999999999524,3246.1399999999994
2017-03-21,24.76000000000001,16,8,8,-35.92999999999999,60.69000000000001,3270.8999999999996
2017-03-22,-19.189999999999998,6,3,3,-29.14,9.950000000000003,3251.7099999999996
2017-03-23,50.1,4,2,2,53.67,-3.57,3301.8099999999995
2017-03-24,-41.58999999999998,9,4,5,59.07000000000001,-100.66,3260.2199999999993
2017-03-27,166.7,4,2,2,94.84,71.86,3426.919999999999
2017-03-28,-28.18,7,3,4,10.0,-38.18000000000001,3398.7399999999993
2017-03-29,-48.58,13,6,7,38.599999999999994,-87.17999999999999,3350.1599999999994
2017-03-30,-152.70000000000002,13,6,7,72.28,-224.98000000000002,3197.4599999999996
2017-03-31,-0.81,1,1,0,-0.81,0.0,3196.6499999999996
2017-04-03,-17.429999999999993,16,8,8,-5.82,-11.609999999999992,3179.22
2017-04-05,-54.72,10,5,5,30.21,-84.93,3124.5
2017-04-06,-77.0,15,8,7,1.9600000000000009,-78.96,3047.5
2017-04-07,-1.95,1,1,0,-1.95,0.0,3045.55
2017-04-10,-94.21,14,7,7,-21.53,-72.68,2951.34
2017-04-11,-92.71,19,10,9,0.05000000000000071,-92.76,2858.63
2017-04-12,285.26,4,2,2,116.57999999999998,168.68,3143.8900000000003
2017-04-13,-10.530000000000001,13,7,6,-24.349999999999998,13.819999999999995,3133.36
2017-04-17,41.64999999999999,20,10,10,-38.78,80.42999999999999,3175.01
2017-04-18,156.67000000000002,8,4,4,-25.049999999999997,181.72000000000003,3331.6800000000003
2017-04-19,164.95,5,3,2,50.699999999999996,114.25,3496.63
2017-04-20,12.04,1,1,0,12.04,0.0,3508.67
